BaseAddress: 0x113614000
Init Dumping...
Total Assemblies: 170
Assembly UnityEngine.TilemapModule.dll: 3 classes
Assembly Unity.Services.Core.Configuration.dll: 12 classes
Assembly Unity.Services.Core.Scheduler.dll: 9 classes
Assembly UnityEngine.GridModule.dll: 2 classes
Assembly UnityEngine.ScreenCaptureModule.dll: 2 classes
Assembly UnityEngine.SpatialTracking.dll: 11 classes
Assembly UnityEngine.SpriteShapeModule.dll: 2 classes
Assembly UnityEngine.TerrainPhysicsModule.dll: 2 classes
Assembly CPM.Backend.Shared.dll: 11 classes
Assembly CPM.PendingRewards.dll: 12 classes
Assembly CPM.PlayerData.dll: 8 classes
Assembly Addler.dll: 6 classes
Assembly CPM.Drivetrain.dll: 7 classes
Assembly CPM.Offer.Carousel.Core.dll: 10 classes
Assembly DOTween46.dll: 9 classes
Assembly UniTask.Addressables.dll: 4 classes
Assembly UnityEngine.Purchasing.SecurityCore.dll: 6 classes
Assembly CPM.CanvasManagement.dll: 5 classes
Assembly Unions.dll: 4 classes
Assembly ReportSystem.Architecture.dll: 8 classes
Assembly System.Runtime.Serialization.dll: 5 classes
Assembly Unity.Barracuda.iOSBLAS.dll: 4 classes
Assembly Unity.MemoryProfiler.dll: 9 classes
Assembly Unity.Services.Core.Device.dll: 6 classes
Assembly UnityEngine.Purchasing.WinRTCore.dll: 4 classes
Assembly WheelKeys.dll: 3 classes
Assembly Newtonsoft.Json.UnityConverters.Addressables.dll: 2 classes
Assembly System.Runtime.CompilerServices.Unsafe.dll: 2 classes
Assembly Unity.Barracuda.BurstBLAS.dll: 2 classes
Assembly Unity.Services.Core.Components.dll: 2 classes
Assembly Unity.Services.Core.Telemetry.dll: 5 classes
Assembly UnityEngine.Purchasing.Apple.dll: 2 classes
Assembly UnityEngine.Purchasing.AppleMacosStub.dll: 2 classes
Assembly CPM.UI.BoostGauge.dll: 2 classes
Assembly Sirenix.Serialization.AOTGenerated.dll: 2 classes
Assembly Unity.Profiling.Core.dll: 2 classes
Assembly Unity.Services.Core.Environments.Internal.dll: 2 classes
Assembly Unity.Services.Core.Threading.dll: 2 classes
Assembly UnityEngine.Purchasing.AppleCore.dll: 2 classes
Assembly UnityEngine.Purchasing.WinRTStub.dll: 2 classes
Assembly BuildMetaInfo.Runtime.dll: 2 classes
Assembly Coffee.SoftMaskForUGUI.R.dll: 2 classes
Assembly System.Configuration.dll: 8 classes
Assembly Unity.Burst.Unsafe.dll: 2 classes
Assembly __Generated: 5 classes
dump.cs written. Classes: 21014 ok, 0 errors.
Generating script.json...
script.json: 125336 methods.
Generating il2cpp.h...
il2cpp.h written.
Generating DummyDll...
DummyDll: Generated 170/170 assemblies.
